iter	RMSE
0	1.347084837
1	1.306691083
2	1.270764408
3	1.23528892
4	1.206071641
5	1.181346041
6	1.158162044
7	1.138347591
8	1.121241936
9	1.107565015
10	1.090517867
11	1.078510705
12	1.067553063
13	1.055740068
14	1.046238591
15	1.036896485
16	1.029117212
17	1.021378798
18	1.013516452
19	1.006815362
20	1.000386854
21	0.9959707465
22	0.991161057
23	0.9864568482
24	0.9812817738
25	0.9768987683
26	0.9736605727
27	0.968921523
28	0.964537837
29	0.9605279872
30	0.956766353
31	0.9539244105
32	0.9510076576
33	0.9479312735
34	0.9445364947
35	0.9424846832
36	0.9399804061
37	0.9372903308
38	0.9348270536
39	0.9325929799
40	0.9304393567
41	0.9289186717
42	0.9268990003
43	0.9243205837
44	0.9224804235
45	0.92090096
46	0.918969253
47	0.917277751
48	0.9158226103
49	0.9137062893
50	0.9123932254
51	0.9108509433
52	0.9099776234
53	0.9084456115
54	0.9071367948
55	0.905817256
56	0.9045104794
57	0.903374128
58	0.9012329126
59	0.9003506952
60	0.899169152
61	0.8984147705
62	0.8973492249
63	0.8956453706
64	0.894540518
65	0.8933398132
66	0.8921485285
67	0.8907098917
68	0.8898783652
69	0.8889730862
70	0.8874082902
71	0.8863245463
72	0.885372866
73	0.8848743863
74	0.8841459647
75	0.8831902932
76	0.8820412389
77	0.881271159
78	0.8800048021
79	0.878733929
80	0.8778182141
81	0.8769527984
82	0.8759866784
83	0.8752243376
84	0.8745108886
85	0.8733569264
86	0.8719392766
87	0.8712095903
88	0.8704295056
89	0.8689114735
90	0.8669097394
91	0.8659732249
92	0.8653769584
93	0.8648020416
94	0.8637053145
95	0.8630720203
96	0.8617144235
97	0.8606094083
98	0.8596931994
99	0.8589263003
100	0.8580437
101	0.8572171692
102	0.8564911946
103	0.8556382765
104	0.8544419902
105	0.8532580371
106	0.8515143172
107	0.8504325365
108	0.8494311176
109	0.8484063499
110	0.8472299969
111	0.8463502348
112	0.8451020242
113	0.8441324289
114	0.8432092399
115	0.8423899568
116	0.8413450521
117	0.8403953706
118	0.8391925837
119	0.8382091055
120	0.837560474
121	0.8367013335
122	0.8356169
123	0.8347715495
124	0.8337388852
125	0.8329586437
126	0.8316924103
127	0.8311864788
128	0.8302963442
129	0.8296913324
130	0.8284254752
131	0.8276509813
132	0.8268977094
133	0.8265535244
134	0.8255478268
135	0.824747118
136	0.8239175403
137	0.8229897249
138	0.8219000585
139	0.8212335476
140	0.8204360766
141	0.8194101797
142	0.8183576416
143	0.8171236901
144	0.8162883779
145	0.8153827736
146	0.8145724713
147	0.8140261834
148	0.8132877491
149	0.8123908442
150	0.8113146249
151	0.8106800284
152	0.8094708631
153	0.8084289358
154	0.8073853762
155	0.8066560776
156	0.8058760345
157	0.8045587315
158	0.8038585521
159	0.8031409975
160	0.8025608844
161	0.8022876765
162	0.8015375916
163	0.8009203032
164	0.8002266647
165	0.7994680211
166	0.7989465442
167	0.798299497
168	0.797112963
169	0.7964273201
170	0.7961659444
171	0.7951974498
172	0.7944909452
173	0.793307241
174	0.7928922511
175	0.7921054288
176	0.7912401425
177	0.7906254091
178	0.78982743
179	0.7890434849
180	0.7880273717
181	0.7873789784
182	0.7866622063
183	0.785898583
184	0.7856858495
185	0.7851784018
186	0.7844561921
187	0.783527289
188	0.782835898
189	0.7820084753
190	0.7812824535
191	0.7801978306
192	0.7797610088
193	0.7789664774
194	0.7784985827
195	0.7782971419
196	0.7777669399
197	0.777060161
198	0.7765664714
199	0.7759187888
200	0.7751646372
201	0.7745836148
202	0.77384705
203	0.7731544405
204	0.7725539859
205	0.7713924198
206	0.7705602193
207	0.7698271195
208	0.7692426884
209	0.7686101272
210	0.7680118879
211	0.7673601651
212	0.767146378
213	0.7665670883
214	0.765971332
215	0.7651422043
216	0.7643929241
217	0.7640094603
218	0.7635757697
219	0.7630966125
220	0.7625263706
221	0.7619587024
222	0.7612429714
223	0.7607272291
224	0.7602824535
225	0.7595745655
226	0.7589277445
227	0.7588221545
228	0.7582161514
229	0.7576238574
230	0.7568422146
231	0.7566818001
232	0.7563403989
233	0.7557501542
234	0.7547807494
235	0.7542264315
236	0.753397007
237	0.7526766568
238	0.7523329593
239	0.7518633438
240	0.7511866953
241	0.7506662884
242	0.7500247669
243	0.7493788478
244	0.7488050128
245	0.7487786981
246	0.7481047448
247	0.7476671157
248	0.7469229239
249	0.7464872733
250	0.7459173294
251	0.7451420479
252	0.7446143314
253	0.7437685338
254	0.7432301541
255	0.7422594774
256	0.7419168725
257	0.7413442573
258	0.7408188155
259	0.7407255725
260	0.7406729772
261	0.7400857322
262	0.7394869953
263	0.7394148756
264	0.7391001188
265	0.7380906108
266	0.7380205577
267	0.7374702836
268	0.7374464805
269	0.7368132591
270	0.7364492507
271	0.7361627504
272	0.7355766468
273	0.7346473413
274	0.7342572988
275	0.7341660284
276	0.7338308989
277	0.7329378089
278	0.7321745256
279	0.7320756486
280	0.7316668288
281	0.7308896315
282	0.7305226695
283	0.730171706
284	0.7295799032
285	0.7292275226
286	0.7289735604
287	0.7283581394
288	0.7282919581
289	0.727783003
290	0.7275314939
291	0.7273442868
292	0.7269475465
293	0.7263860487
294	0.7257984247
295	0.7250597566
296	0.7242642999
297	0.7237613698
298	0.7231659037
299	0.7226991183
300	0.7223917926
301	0.7219416684
302	0.7218970955
303	0.7214174628
304	0.7211006303
305	0.7205194543
306	0.7200475962
307	0.7194475185
308	0.7192015239
309	0.7184938358
310	0.7184752771
311	0.718283704
312	0.7177459993
313	0.7172524681
314	0.7168021931
315	0.7162824971
316	0.7162652833
317	0.7156516778
318	0.7152297375
319	0.7147890339
320	0.7144074096
321	0.7143641605
322	0.7137678388
323	0.7131060993
324	0.7123572882
325	0.7123427355
326	0.7117284914
327	0.7117124743
328	0.7112883494
329	0.7106538051
330	0.7102585974
331	0.7095653545
332	0.7094484834
333	0.7091072903
334	0.7086018203
335	0.7082615995
336	0.7078979966
337	0.7075902083
338	0.7072863605
339	0.7072687582
340	0.7068849991
341	0.7068715415
342	0.7066359208
343	0.7061582796
344	0.7056061574
345	0.705121724
346	0.7046657576
347	0.7040882603
348	0.7035471349
349	0.7032262466
350	0.7027054608
351	0.7024112439
352	0.7020810339
353	0.7014580185
354	0.7012636391
355	0.7012011462
356	0.7007176102
357	0.7004061411
358	0.6998599049
359	0.699110099
360	0.6987227
361	0.6981148322
362	0.6977379129
363	0.6973314944
364	0.6968666735
365	0.6964837604
366	0.695606472
367	0.6949270373
368	0.6942702745
369	0.6937719178
370	0.6928710131
371	0.6922910869
372	0.6918283987
373	0.6917908628
374	0.6914043628
375	0.6911094719
376	0.6907818212
377	0.6904650426
378	0.6900053
379	0.6896143643
380	0.6896054424
381	0.6892103846
382	0.6888950533
383	0.6883486862
